"logFC" "logCPM" "PValue" "FDR"
"rosemary" -7.65269803917005 10.1151570360545 1.0956175628911e-32 1.32004075515315e-28
"arugula" -7.67348247995813 10.3962463321582 1.31799785847252e-32 1.32004075515315e-28
"cauliflower" -7.49339508720738 10.9451211274875 1.02640606267707e-31 6.85331328049479e-28
"huckleberry" -7.42298950850903 10.998173754169 2.10177051930996e-31 1.05251413180744e-27
"parsley" -7.29615533382287 9.45117796062505 1.8581461982275e-30 7.44410529933902e-27
"watercress" -7.1692598764179 9.94588459789887 4.37926127646596e-30 1.28124729522055e-26
"watermelon" -7.19513318224958 13.9077688690684 4.47742552371017e-30 1.28124729522055e-26
"apricot" -7.07053733720231 7.64294001588276 7.01435210041096e-30 1.75630608654165e-26
"blackberry" -7.10143034948432 12.3118797639766 1.35527799132092e-29 3.01639704934992e-26
"chestnut" -6.90621830634243 8.03642927950848 6.77952700510847e-29 1.35800705439328e-25
"grape" -6.91999153370729 9.43226196356629 1.04273565423202e-28 1.87684491048471e-25
"pomegranate" -6.85260775382734 7.50347793841121 1.12436418180902e-28 1.87684491048471e-25
"fig" -6.93644356844688 11.7208817167015 1.23800707016916e-28 1.9075784325045e-25
"currant" -6.90699279151486 11.3448308302368 1.38030973384195e-28 1.97088385823772e-25
"olive" -6.92283930065374 11.716393040278 1.47587528698347e-28 1.97088385823772e-25
"quince" -6.85631155913917 12.7630731765069 3.12937017376333e-28 3.91777587191583e-25
"raisin" -6.86210399775838 12.5256166593772 3.36261696901315e-28 3.96215179448838e-25
"lettuce" -6.83146264270656 11.5391084983331 4.00164686260829e-28 4.45316601693926e-25
"okra" -6.80103968178364 9.5231534158405 5.58603846758277e-28 5.88915455495529e-25
"elderberry" -6.82513490484278 11.0728737192837 7.09291087831108e-28 7.08134419569946e-25
"cranberry" -6.68430777880426 7.37780502598398 7.42390435373614e-28 7.08134419569946e-25
"mango" -6.70150323860996 13.0362311297391 2.33474378987816e-27 2.12578422068406e-24
"avocado" -6.63994558609542 10.8968071102141 3.51795980545839e-27 3.06383708100596e-24
"papaya" -6.58325152497535 10.1642318575208 7.92973184281717e-27 6.61835243931128e-24
"strawberry" -6.55590191233175 10.3340347134458 1.05788408857456e-26 8.4761904712948e-24
"beet" -6.65042175170673 4.10991979783534 1.25611232169917e-26 9.6773791984446e-24
"grapefruit" -6.47303925489898 9.10158048694084 2.03022334372874e-26 1.5062001406752e-23
"basil" -6.4011724765651 8.52894391974674 4.14102326232915e-26 2.96245846313269e-23
"turnip" -6.43515436268205 12.3936811558771 4.79113627767035e-26 3.30935347510395e-23
"coconut" -6.43216351154682 11.8006374082403 5.24905661559694e-26 3.50479510223408e-23
"chard" -6.4159376764504 10.4996877107455 5.44710319404409e-26 3.51970722838378e-23
"banana" -6.37159953449026 9.62469645839371 8.44618542997458e-26 5.2870481358694e-23
"pear" -6.53656989267003 3.3415667536359 1.59493504011981e-25 9.62183552766033e-23
"blueberry" -6.32333786911365 10.4862339002026 1.63318060975713e-25 9.62183552766033e-23
"wasabi" -6.29268726146314 14.0526450343832 2.70183091071366e-25 1.54629642778587e-22
"kohlrabi" -6.18401232435903 9.94870864133984 1.12131014705253e-24 6.23915654322479e-22
"tomato" -6.0797021992054 9.46403862604465 3.51607462406453e-24 1.90352677823342e-21
"lentil" -6.06378758787038 11.5951741492102 5.37910662370607e-24 2.83549696788043e-21
"mustard" -5.91166497731407 6.98592347341936 8.53615261264139e-24 4.38429930727743e-21
"onion" -5.96495946133135 9.49468297492852 1.44838819079697e-23 7.14582629977178e-21
"fennel" -5.93559799744183 8.50526790334067 1.4626273191086e-23 7.14582629977178e-21
"orange" -5.94196929469077 11.6331114725132 2.33689805661701e-23 1.11453345171655e-20
"rhubarb" -5.87649515885243 11.7961791690317 5.19963204531845e-23 2.42218208139009e-20
"raspberry" -5.68532453842649 8.44490528891919 2.85603193895276e-22 1.30020854020825e-19
"clementine" -5.71299569502324 10.0770428466563 3.80443586497415e-22 1.69348121802883e-19
"peach" -5.65191192677896 9.21020186692871 5.92324643830276e-22 2.57931629142701e-19
"mushroom" -5.32121140567194 8.05693150085506 2.33091410226861e-20 9.93415752820055e-18
"parsnip" -5.34334038535344 9.21837188788358 2.41976088685909e-20 1.00979646509738e-17
"eggplant" -5.1752859715656 10.4661193732679 2.09397735229401e-19 8.56009394771457e-17
"asparagus" -4.43636970789009 8.54132438649053 9.97620895488824e-16 3.99666883150733e-13
"LALBA" -2.20506475591708 5.63155389234457 8.63963736737758e-06 0.00339334462952824
"SLAMF1" 1.85950069390276 5.01873819561624 0.000151054912701094 0.0581880953137618
"MED12" 1.83091748306683 2.55709410180005 0.000238737782802039 0.0902293684397669
"DCLK1" 1.76748152528352 5.03951263795373 0.00029013447132386 0.107623770279412
"BCL2L14" 1.74960867543639 5.00956780173164 0.000336108431829282 0.121772411174714
"ITGB5" 1.75018156012994 5.91539754841172 0.000340435076919973 0.121772411174714
"CCDC121" -1.74179666052963 5.35140668663989 0.000364537002646379 0.128105977193151
"C12orf76" -1.71025540501213 5.75738016015742 0.000436918721171711 0.148141512654121
"ZKSCAN2" -1.71279591112122 5.13479087478855 0.000438236578714816 0.148141512654121
"CTAG1A" -1.73923763220613 2.54022188758112 0.000446043804329645 0.148141512654121
"AC018638.1" 1.71442623351775 5.15467756989075 0.000451132358439489 0.148141512654121
"SEBOX" 1.7630083917974 0.7637575657096 0.000557862415687567 0.180234549171575
"TUBG2" -1.71791314081778 1.81794626271508 0.0005852659044737 0.186086687817662
"PTCH1" -2.2729832048712 -2.37968208851806 0.00060572581736709 0.1886871347008
"CCNB1IP1" 1.7081257197621 1.77989507284742 0.000612284147349208 0.1886871347008
"CITED1" -1.65049625524732 5.1248402396578 0.000702277719984613 0.21314128801533
"PBX4" -1.63224754296124 6.45927109804022 0.000771427079227677 0.230633669015069
"ADAMTS7" -1.6417703756585 4.22862136609534 0.000802193295464546 0.233183632794658
"BRPF3" -1.6458861452972 4.05122358448354 0.000803238513445728 0.233183632794658
"LMTK3" 1.61693902516815 5.23728347016386 0.00090710473932619 0.257544475554795
"RIMS4" -1.60820343352635 5.65224291557864 0.00092216566626615 0.257544475554795
"RHOXF1" -1.62059504160078 6.1743927564459 0.000925725237878552 0.257544475554795
"CLEC12A" -1.59463716309399 6.91588869817428 0.00103022510404438 0.282690946015246
"ABCD1" 1.60797481935461 4.0471078152243 0.00106595127772808 0.288541487083393
"MBLAC2" 1.57329116399583 4.83486544738703 0.00117019154680902 0.312534758321754
"APCDD1" 1.87545246566627 -1.28243758629924 0.00122601771234822 0.319100789628589
"PRSS58" -1.57133551382853 6.18723565687565 0.00122663675310276 0.319100789628589
"FAM179A" 1.55846541836473 6.52612117374961 0.00130628367942407 0.33074273943864
"NCKAP1L" -1.55959325719787 5.28998346539788 0.00130928558760992 0.33074273943864
"KIF20A" 1.56095653622222 5.15109974383582 0.00132092352628881 0.33074273943864
"LBR" 1.54743710881797 4.80262877014549 0.00141050485393473 0.348812626286007
"USP29" -1.54198878279941 5.78567139981028 0.0014660827781438 0.358135416207299
"IDI2" -1.53478247646976 6.80489060311923 0.00153695639406341 0.370924982282942
"PHF20L1" 1.55169945717242 3.76685821065161 0.00157744447509173 0.376164170006696
"AC010646.3" -1.53787232159836 4.44709951804574 0.00164081938547711 0.380822064078616
"SMC6" 1.52493328911399 5.86199091132994 0.00165050923201934 0.380822064078616
"PDLIM4" -1.5408776447859 3.71921086023416 0.00165401225973938 0.380822064078616
"POTEE" 1.57655720180314 0.68230272655912 0.00180426725027215 0.410696332843198
"ZNF311" -1.5367494488085 2.63039761046142 0.00184905945323347 0.416163032671006
"E4F1" 1.91859755405205 -1.7447644921185 0.00194259496844464 0.432356886810162
"KRTCAP2" 1.498800656579 5.35848319023365 0.00196655188438224 0.432879129627039
"APELA" 1.51584005172789 2.79925378934259 0.00211372039600097 0.460216665785819
"LRRC8A" 1.48663822237037 6.2875918598038 0.00213952945110769 0.460827036936969
"NXPE3" 1.49088346441822 7.34695752812263 0.00219440542185957 0.467618457502863
"FUCA1" 1.47862179150005 5.51980984978943 0.00222146875117204 0.468402532155023
"PSME4" 1.47508702580321 6.60199505950169 0.00226435385421632 0.472471583893823
"TOX2" -1.47321288319809 5.57396538804493 0.00229178552251002 0.473265523725755
"ADAMTSL1" 1.47340657843142 5.21087363842133 0.00232307485340016 0.474831759065903
"KCNA4" -1.46910107382949 5.99213588219635 0.00243196084056982 0.49078381095988
"NME1" -1.48394129765191 3.97558673997034 0.00245012136668105 0.49078381095988
"PNMA6A" 1.47458002422251 3.44867715172786 0.00267902856236692 0.530326793410401
"SLC38A4" 3.04098268598097 -3.28407765358951 0.00271359989407093 0.530326793410401
"RNF170" 1.46948065026492 3.70458590772479 0.00272695620394745 0.530326793410401
"CUTA" 1.44200472530745 6.01110368134007 0.00283961474979169 0.546926183202666
"OR52K2" -1.44017995949756 5.25527523131441 0.00292213137814988 0.55745917748305
"CCDC85C" -1.44237550048627 4.42498395183497 0.0030332609737484 0.573200477029757
"PABPN1L" -1.52932320319929 -0.0634315707434405 0.00313440588426588 0.575587265161568
"ZDHHC13" -1.4439478635186 3.64371517084327 0.00324593318164642 0.575587265161568
"GDF9" -1.49625843039454 0.316415978898114 0.00324597780371537 0.575587265161568
"EBF2" 1.42491511430128 6.11340150155761 0.00325021571735018 0.575587265161568
